Company,Role,Location,Work Type,Visa Sponsored,Pay Range,Source,Date Applied,Status,Job URL,Resume Used,Cover Letter,Priority
Plaid,Software Engineer,"Seattle, WA",On-site (Visa Sponsored),Y,Not Listed,Lever,,Found,https://jobs.lever.co/plaid/f455a60a-6ea0-4d1b-890b-5f7869192c5f,,N,4
Plaid,Software Engineer,New York,On-site (Visa Sponsored),Y,Not Listed,Lever,,Found,https://jobs.lever.co/plaid/49139a62-a9bc-4400-ae89-789818b34cb8,,N,4
Plaid,Social Media Lead,San Francisco,On-site (Visa Sponsored),Y,Not Listed,Lever,,Found,https://jobs.lever.co/plaid/eb87ad8f-2141-429f-b0d2-fde095823044,,N,4
Plaid,Senior Visual Designer (Web),San Francisco,On-site (Visa Sponsored),Y,Not Listed,Lever,,Found,https://jobs.lever.co/plaid/aed3a2ea-6f19-44fb-9eb2-a90f73af61c7,,N,4
Plaid,Senior Software Engineer - Network Enablement (Applied ML),San Francisco,On-site (Visa Sponsored),Y,Not Listed,Lever,,Found,https://jobs.lever.co/plaid/43b1374d-5c5e-4b63-b710-a95e3cb76bbe,,N,4
Plaid,Senior Software Engineer - Fullstack,New York,On-site (Visa Sponsored),Y,Not Listed,Lever,,Found,https://jobs.lever.co/plaid/de02fe74-6365-4aa0-8d21-fa700db3abe8,,N,4
Plaid,Senior Software Engineer - Fullstack,San Francisco,On-site (Visa Sponsored),Y,Not Listed,Lever,,Found,https://jobs.lever.co/plaid/9a4fcc86-9c58-4439-9fe5-9c206cfc8dd3,,N,4
Plaid,Senior Software Engineer - Fullstack,"Seattle, WA",On-site (Visa Sponsored),Y,Not Listed,Lever,,Found,https://jobs.lever.co/plaid/28bad806-9938-48eb-b643-2720605cd965,,N,4
Plaid,Senior Software Engineer - Data Infrastructure,San Francisco,On-site (Visa Sponsored),Y,Not Listed,Lever,,Found,https://jobs.lever.co/plaid/05b0ae3f-ec60-48d6-ae27-1bd89d928c47,,N,4
Plaid,Senior Software Engineer - Backend,San Francisco,On-site (Visa Sponsored),Y,Not Listed,Lever,,Found,https://jobs.lever.co/plaid/cdfaadbd-7cae-479c-94fc-538a610cf4f0,,N,4
Plaid,Senior Software Engineer - Backend,"Seattle, WA",On-site (Visa Sponsored),Y,Not Listed,Lever,,Found,https://jobs.lever.co/plaid/7b9d1e17-f492-492d-9c77-9b82f57c6d78,,N,4
Plaid,Senior Software Engineer - Backend,New York,On-site (Visa Sponsored),Y,Not Listed,Lever,,Found,https://jobs.lever.co/plaid/0e7c6766-a599-4c5f-80a9-36164c45d93e,,N,4
Plaid,Senior Software Engineer - AI Applications,San Francisco,On-site (Visa Sponsored),Y,Not Listed,Lever,,Found,https://jobs.lever.co/plaid/0afb2b7b-7e54-40e4-a8f6-642ac1df00f6,,N,4
Plaid,Senior Product Manager,San Francisco,On-site (Visa Sponsored),Y,Not Listed,Lever,,Found,https://jobs.lever.co/plaid/6ce66588-0d49-42be-bcdd-724425d02b8b,,N,4
Plaid,Senior Machine Learning Engineer - Payments,San Francisco,On-site (Visa Sponsored),Y,Not Listed,Lever,,Found,https://jobs.lever.co/plaid/b7d3a770-946b-4b08-92d3-e02506742066,,N,4
Plaid,Senior Machine Learning Engineer - Fraud (Research Scientist),San Francisco,On-site (Visa Sponsored),Y,Not Listed,Lever,,Found,https://jobs.lever.co/plaid/e28926e1-4d8d-4419-95e2-42ade249e998,,N,4
Plaid,Senior Developer Relations Engineer - Customer Growth and Experience,United States,On-site (Visa Sponsored),Y,Not Listed,Lever,,Found,https://jobs.lever.co/plaid/6d510dc8-2e7b-48e6-b8e8-601ca5777fa8,,N,4
Plaid,Senior Data Scientist - Data Foundations & AI,San Francisco,On-site (Visa Sponsored),Y,Not Listed,Lever,,Found,https://jobs.lever.co/plaid/0512e257-f07a-481e-8496-d2f86e6caf1a,,N,4
Plaid,Senior Data Engineer - Data Engineering,San Francisco,On-site (Visa Sponsored),Y,Not Listed,Lever,,Found,https://jobs.lever.co/plaid/022278b3-0943-44b3-a54b-1de421017589,,N,4
Plaid,Senior Credit Risk Manager - Payments,United States,On-site (Visa Sponsored),Y,Not Listed,Lever,,Found,https://jobs.lever.co/plaid/d31b1c6b-a5ec-4a1d-b245-9601457a48b2,,N,4
Plaid,Sales Manager - SMB,Raleigh-Durham,On-site (Visa Sponsored),Y,Not Listed,Lever,,Found,https://jobs.lever.co/plaid/967ed8a7-e9c1-4364-8451-2346c33034d7,,N,4
Plaid,Sales Leader - SMB,New York,On-site (Visa Sponsored),Y,Not Listed,Lever,,Found,https://jobs.lever.co/plaid/db945796-be4f-4498-a839-d84508906a9d,,N,4
Plaid,Sales Engineer - SMB,New York,On-site (Visa Sponsored),Y,Not Listed,Lever,,Found,https://jobs.lever.co/plaid/783fec77-9553-4d39-859f-67ed57e531b7,,N,4
Plaid,Sales Engineer - Enterprise,United States,On-site (Visa Sponsored),Y,Not Listed,Lever,,Found,https://jobs.lever.co/plaid/3e67a67b-dfbb-4c33-a691-9aed28461171,,N,4
Plaid,Sales Development Representative,Raleigh-Durham,On-site (Visa Sponsored),Y,Not Listed,Lever,,Found,https://jobs.lever.co/plaid/e8984a69-e0bb-4ef5-a8fe-2c3593cbd855,,N,4
Plaid,Sales Development Representative,San Francisco,On-site (Visa Sponsored),Y,Not Listed,Lever,,Found,https://jobs.lever.co/plaid/e852b15b-b38f-45a6-9a81-af9c4b758b5f,,N,4
Plaid,"Risk Analyst, Customer Oversight",New York,On-site (Visa Sponsored),Y,Not Listed,Lever,,Found,https://jobs.lever.co/plaid/8d7e55bb-6d48-4e2c-9f9f-f05d9a18681b,,N,4
Plaid,"Recruiting Manager, Engineering",United States,On-site (Visa Sponsored),Y,Not Listed,Lever,,Found,https://jobs.lever.co/plaid/a81fe661-14dc-46f4-aa9d-647128e1a5cb,,N,4
Plaid,Product Recruiter,San Francisco,On-site (Visa Sponsored),Y,Not Listed,Lever,,Found,https://jobs.lever.co/plaid/909fe097-a480-49c4-bb44-430757bd3019,,N,4
Plaid,Product Operations,San Francisco,On-site (Visa Sponsored),Y,Not Listed,Lever,,Found,https://jobs.lever.co/plaid/7f6174b1-2470-400c-94e3-64fe62664884,,N,4
Plaid,Product Manager,San Francisco,On-site (Visa Sponsored),Y,Not Listed,Lever,,Found,https://jobs.lever.co/plaid/9c7b4342-de57-4a74-8ada-9741a07c7b5f,,N,4
Plaid,Product Lead - Money Movement,New York,On-site (Visa Sponsored),Y,Not Listed,Lever,,Found,https://jobs.lever.co/plaid/f49c8a79-0281-420d-aff6-856a66f932d0,,N,4
Plaid,Product Lead - Growth,San Francisco,On-site (Visa Sponsored),Y,Not Listed,Lever,,Found,https://jobs.lever.co/plaid/b87c595b-b231-4a86-bffa-450e3f9dc335,,N,4
Plaid,Product Lead - Account Verification,New York,On-site (Visa Sponsored),Y,Not Listed,Lever,,Found,https://jobs.lever.co/plaid/8a10da34-daad-4ebe-bcfb-4485089a0538,,N,4
Plaid,Product Design Manager - Dashboard,San Francisco,On-site (Visa Sponsored),Y,Not Listed,Lever,,Found,https://jobs.lever.co/plaid/8475f136-cbe4-42a8-80d7-f3a1d47dc8c2,,N,4
Plaid,Privacy & Data Innovation Counsel,United States,On-site (Visa Sponsored),Y,Not Listed,Lever,,Found,https://jobs.lever.co/plaid/4ced8121-c5a8-4a67-af1e-44d854b05d68,,N,4
